Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
MISSISSIPPI,2017,1,3,,3,,22,,3,,7,,"{'needs_recoding': False, 'longitude': '-89.537312', 'latitude': '32.738663', 'human_address': '{""address"":"""",""city"":"""",""state"":""MISSISSIPPI"",""zip"":""""}'}",
TENNESSEE,2017,1,34,,20,,36,,34,,11,,"{'needs_recoding': False, 'longitude': '-85.774444', 'latitude': '35.681402', 'human_address': '{""address"":"""",""city"":"""",""state"":""TENNESSEE"",""zip"":""""}'}",
W.S. CENTRAL,2017,1,64,,64,,413,,64,,232,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",W.S. CENTRAL
ARKANSAS,2017,1,12,,12,,29,,12,,10,,"{'needs_recoding': False, 'longitude': '-92.275105', 'latitude': '34.748745', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}'}",
LOUISIANA,2017,1,13,,13,,35,,13,,19,,"{'needs_recoding': False, 'longitude': '-92.463284', 'latitude': '31.2931', 'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}'}",
OKLAHOMA,2017,1,9,,9,,27,,9,,7,,"{'needs_recoding': False, 'longitude': '-97.521264', 'latitude': '35.468494', 'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}'}",
TEXAS,2017,1,30,,30,,328,,30,,196,,"{'needs_recoding': False, 'longitude': '-99.423022', 'latitude': '31.827233', 'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}'}",
MOUNTAIN,2017,1,42,,42,,258,,42,,18,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MOUNTAIN
ARIZONA,2017,1,,-,0,,188,,,-,,-,"{'needs_recoding': False, 'longitude': '-111.760902', 'latitude': '34.869712', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}'}",
COLORADO,2017,1,7,,7,,20,,7,,11,,"{'needs_recoding': False, 'longitude': '-106.132562', 'latitude': '38.841772', 'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}'}",
IDAHO,2017,1,2,,2,,11,,2,,,-,"{'needs_recoding': False, 'longitude': '-114.364237', 'latitude': '43.680635', 'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}'}",
MONTANA,2017,1,,-,0,,2,,,-,,-,"{'needs_recoding': False, 'longitude': '-109.430168', 'latitude': '47.062617', 'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}'}",
NEVADA,2017,1,19,,15,,20,,19,,1,,"{'needs_recoding': False, 'longitude': '-117.070159', 'latitude': '39.491833', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}'}",
NEW MEXICO,2017,1,2,,2,,14,,2,,1,,"{'needs_recoding': False, 'longitude': '-106.244402', 'latitude': '34.520396', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}'}",
UTAH,2017,1,11,,4,,11,,11,,4,,"{'needs_recoding': False, 'longitude': '-111.584173', 'latitude': '39.359772', 'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}'}",
WYOMING,2017,1,1,,0,,1,,1,,1,,"{'needs_recoding': False, 'longitude': '-108.110518', 'latitude': '43.23558', 'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}'}",
PACIFIC,2017,1,304,,304,,744,,304,,373,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",PACIFIC
ALASKA,2017,1,8,,8,,15,,8,,12,,"{'needs_recoding': False, 'longitude': '-147.738891', 'latitude': '64.836661', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}'}",
CALIFORNIA,2017,1,238,,238,,623,,238,,298,,"{'needs_recoding': False, 'longitude': '-121.002435', 'latitude': '37.640735', 'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}'}",
HAWAII,2017,1,20,,20,,34,,20,,25,,"{'needs_recoding': False, 'longitude': '-157.858158', 'latitude': '21.30992', 'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}'}",
OREGON,2017,1,13,,13,,20,,13,,13,,"{'needs_recoding': False, 'longitude': '-120.156945', 'latitude': '44.567912', 'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}'}",
WASHINGTON,2017,1,25,,25,,64,,25,,25,,"{'needs_recoding': False, 'longitude': '-120.467672', 'latitude': '47.517368', 'human_address': '{""address"":"""",""city"":"""",""state"":""WASHINGTON"",""zip"":""""}'}",
AMER. SAMOA,2017,1,,-,0,,1,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""AMER. SAMOA"",""zip"":""""}'}",
C.N.M.I.,2017,1,5,,5,,7,,5,,8,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""C.N.M.I."",""zip"":""""}'}",
GUAM,2017,1,,-,0,,25,,,-,11,,"{'needs_recoding': False, 'longitude': '144.653198', 'latitude': '13.3532', 'human_address': '{""address"":"""",""city"":"""",""state"":""GUAM"",""zip"":""""}'}",
PUERTO RICO,2017,1,8,,8,,32,,8,,4,,"{'needs_recoding': False, 'longitude': '-66.414655', 'latitude': '18.215692', 'human_address': '{""address"":"""",""city"":"""",""state"":""PUERTO RICO"",""zip"":""""}'}",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":""VIRGIN ISL."",""zip"":""""}'}",
UNITED STATES,2017,2,1545,,1545,,2795,,3327,,4193,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",UNITED STATES
NEW ENGLAND,2017,2,40,,40,,87,,100,,134,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",NEW ENGLAND
CONNECTICUT,2017,2,5,,5,,16,,14,,28,,"{'needs_recoding': False, 'longitude': '-72.651713', 'latitude': '41.544654', 'human_address': '{""address"":"""",""city"":"""",""state"":""CONNECTICUT"",""zip"":""""}'}",
MAINE,2017,2,2,,2,,8,,7,,10,,"{'needs_recoding': False, 'longitude': '-68.986647', 'latitude': '45.252223', 'human_address': '{""address"":"""",""city"":"""",""state"":""MAINE"",""zip"":""""}'}",
MASSACHUSETTS,2017,2,27,,27,,56,,65,,80,,"{'needs_recoding': False, 'longitude': '-72.085064', 'latitude': '42.268546', 'human_address': '{""address"":"""",""city"":"""",""state"":""MASSACHUSETTS"",""zip"":""""}'}",
