Reporting area,MMWR Year,MMWR Quarter,"Tuberculosis†, Current quarter","Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2017","Tuberculosis†, Cum 2017, flag","Tuberculosis†, Cum 2016","Tuberculosis†, Cum 2016, flag",Location 1,Location 2
ARKANSAS,2017,4,14,,14,,29,,82,,91,,"{'needs_recoding': False, 'longitude': '-78.729401', 'latitude': '39.074402', 'human_address': '{""address"":"""",""city"":""ARKANSAS"",""state"":"""",""zip"":""""}'}",
LOUISIANA,2017,4,31,,29,,42,,135,,127,,"{'needs_recoding': False, 'longitude': '-91.060313', 'latitude': '39.44358', 'human_address': '{""address"":"""",""city"":""LOUISIANA"",""state"":"""",""zip"":""""}'}",
OKLAHOMA,2017,4,8,,8,,14,,46,,78,,"{'needs_recoding': False, 'longitude': '-79.573902', 'latitude': '40.58151', 'human_address': '{""address"":"""",""city"":""OKLAHOMA"",""state"":"""",""zip"":""""}'}",
TEXAS,2017,4,149,,149,,299,,940,,1252,,"{'needs_recoding': False, 'longitude': '-71.892799', 'latitude': '42.165298', 'human_address': '{""address"":"""",""city"":""TEXAS"",""state"":"""",""zip"":""""}'}",
MOUNTAIN,2017,4,82,,82,,112,,376,,389,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",MOUNTAIN
ARIZONA,2017,4,28,,28,,55,,157,,188,,"{'needs_recoding': False, 'longitude': '-92.957497', 'latitude': '32.788898', 'human_address': '{""address"":"""",""city"":""ARIZONA"",""state"":"""",""zip"":""""}'}",
COLORADO,2017,4,22,,13,,28,,78,,64,,"{'needs_recoding': False, 'longitude': '-97.974853', 'latitude': '39.014418', 'human_address': '{""address"":"""",""city"":""COLORADO"",""state"":"""",""zip"":""""}'}",
IDAHO,2017,4,2,,0,,4,,9,,18,,"{'needs_recoding': False, 'longitude': '-85.934196', 'latitude': '33.3172', 'human_address': '{""address"":"""",""city"":""IDAHO"",""state"":"""",""zip"":""""}'}",
MONTANA,2017,4,,-,0,,2,,3,,4,,"{'needs_recoding': False, 'longitude': '-95.122146', 'latitude': '37.275443', 'human_address': '{""address"":"""",""city"":""MONTANA"",""state"":"""",""zip"":""""}'}",
NEVADA,2017,4,21,,16,,21,,72,,55,,"{'needs_recoding': False, 'longitude': '-94.359373', 'latitude': '37.837233', 'human_address': '{""address"":"""",""city"":""NEVADA"",""state"":"""",""zip"":""""}'}",
NEW MEXICO,2017,4,9,,8,,9,,34,,39,,"{'needs_recoding': False, 'longitude': '-91.044251', 'latitude': '46.212676', 'human_address': '{""address"":"""",""city"":""NEW MEXICO"",""state"":"""",""zip"":""""}'}",
UTAH,2017,4,,-,0,,13,,21,,20,,"{'needs_recoding': False, 'longitude': '-84.898102', 'latitude': '39.060799', 'human_address': '{""address"":"""",""city"":""UTAH"",""state"":"""",""zip"":""""}'}",
WYOMING,2017,4,,-,0,,2,,2,,1,,"{'needs_recoding': False, 'longitude': '-85.695442', 'latitude': '42.913415', 'human_address': '{""address"":"""",""city"":""WYOMING"",""state"":"""",""zip"":""""}'}",
PACIFIC,2017,4,405,,405,,610,,2061,,2501,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",PACIFIC
ALASKA,2017,4,9,,7,,17,,42,,57,,"{'needs_recoding': False, 'longitude': '-87.501099', 'latitude': '44.5406', 'human_address': '{""address"":"""",""city"":""ALASKA"",""state"":"""",""zip"":""""}'}",
CALIFORNIA,2017,4,375,,375,,537,,1830,,2048,,"{'needs_recoding': False, 'longitude': '-79.894911', 'latitude': '40.067097', 'human_address': '{""address"":"""",""city"":""CALIFORNIA"",""state"":"""",""zip"":""""}'}",
HAWAII,2017,4,9,,9,,34,,103,,119,,"{'needs_recoding': False, 'longitude': '-124.405296', 'latitude': '47.749401', 'human_address': '{""address"":"""",""city"":""HAWAII"",""state"":"""",""zip"":""""}'}",
OREGON,2017,4,12,,11,,22,,61,,70,,"{'needs_recoding': False, 'longitude': '-89.383942', 'latitude': '42.925797', 'human_address': '{""address"":"""",""city"":""OREGON"",""state"":"""",""zip"":""""}'}",
WASHINGTON,2017,4,,-,0,,25,,25,,207,,"{'needs_recoding': False, 'longitude': '-77.019912', 'latitude': '38.892062', 'human_address': '{""address"":"""",""city"":""WASHINGTON"",""state"":"""",""zip"":""""}'}",
AMER. SAMOA,2017,4,1,,0,,1,,1,,1,,"{'needs_recoding': False, 'longitude': '-72.519871', 'latitude': '42.375805', 'human_address': '{""address"":"""",""city"":""AMER. SAMOA"",""state"":"""",""zip"":""""}'}",
C.N.M.I.,2017,4,,-,0,,12,,26,,27,,"{'needs_recoding': False, 'longitude': '-104.818802', 'latitude': '41.14024', 'human_address': '{""address"":"""",""city"":""C.N.M.I."",""state"":"""",""zip"":""""}'}",
GUAM,2017,4,1,,1,,16,,37,,75,,"{'needs_recoding': False, 'longitude': '-89.823601', 'latitude': '36.901901', 'human_address': '{""address"":"""",""city"":""GUAM"",""state"":"""",""zip"":""""}'}",
PUERTO RICO,2017,4,3,,3,,11,,29,,69,,"{'needs_recoding': False, 'longitude': '-98.345299', 'latitude': '26.6492', 'human_address': '{""address"":"""",""city"":""PUERTO RICO"",""state"":"""",""zip"":""""}'}",
VIRGIN ISL.,2017,4,,-,0,,0,,,-,,-,"{'needs_recoding': False, 'longitude': '-75.975518', 'latitude': '36.845117', 'human_address': '{""address"":"""",""city"":""VIRGIN ISL."",""state"":"""",""zip"":""""}'}",
